,Sentences
255,"Figure B.1 Arcade    Assembly: Occupancy classification associated with  the gathering of people for deliberation, worship,  entertainment, eating, drinking, amusement, awaiting  transportation, or similar uses."
256,"Atrium: Large-volume space created by a floor opening  or series of floor openings, connecting two or more  storeys or exceeding 15 m in height from finished floor."
257,"The space is covered at the top of the opening(s) and  used for purposes other than an enclosed stairway,  an elevator hoistway, an escalator opening or a utility  shaft."
258,Figure B.2 Balcony    Basement floor: Storey of a building wholly or partly  below the gate level that is not the first storey above  gate level.
259,"A basement slab soffit level is not higher  than 1,200 mm above the building gate level."
260,"Dubai Building Code    Part B: Architecture     Bathroom: Room containing a water closet, a  washbasin, and either a bathtub, a shower, or both."
261,"Bi-separator: Piece of equipment fitted to the end of a  refuse chute which allows the user to deposit multiple  waste streams, such as recycling and residual waste,  into a single refuse chute."
262,"Building height, total: Vertical distance measured from  the approved road edge level at the plot main access to  the highest roof surface or element."
263,Building height: Vertical distance measured from the  approved road edge level at the plot main access to the  mean finished level of the building roof.
264,"Boundary wall/fence: Free-standing structure  constructed from approved materials surrounding a  plot, resting on the ground and rising above ground  level and used for confinement and/or screening for  safety or security or division purposes."
265,Building: Structure for the use or occupancy of people  or for shelter.
266,"Building element: Component of a building, which  might or might not be of fire resistance rated  construction and is constructed of approved materials."
267,"Building envelope: Physical barrier between the  exterior and the conditioned environment of a building  to resist air, water, moisture, heat, cold, light, and noise  transfer."
268,"For an air-conditioned building, the building  envelope comprises the elements of a building that  separate conditioned spaces from the exterior."
269,Crown  extensions to the façade to cover plant screen cladding  are part of the building envelope.
270,The building envelope  does not include the physical barrier below ground.
271,Building occupants: Persons using the building.
272,"Building projection: Projection or protrusion that  extends outside the vertical external wall of the floor  below, such as balconies."
273,"Building setback: Horizontal distance between the  nearest part of any building or structure on the plot  above ground and the plot boundary, measured  perpendicular to the plot boundary."
274,"Built environment: External and internal environments  and any element, component or fitting that is  commissioned, designed, constructed and managed for  use by people."
275,"Bulky waste: Waste, such as furniture, which is usually  too large for regular waste collections."
276,"Business: Occupancy used for the transaction of  business other than retail, usually used for office,  professional or service-type transactions, including  storage of records and accounts."
277,"Canopy: Building projection that provides weather  protection, identity or decoration and is partially  or wholly supported by the building to which it is  attached."
278,"Carpool vehicle: Shared vehicle used by people who  each have a car but travel together to save cost, to  reduce driving stress and to promote other socio  environmental benefits."
279,"Chimney: Primarily vertical structure containing one  or more flues, for the purpose of carrying gaseous  products of combustion and air from a fuel-burning  appliance to the outdoor atmosphere."
280,Chute: Vertical shaft or sloping channel provided for  building utilities and services.
281,"Circulation: Means of passage for pedestrians in and  around the built environment, including (but not  limited to) corridors, hallways, courtyards, stairways  and stair landings."
282,Clear width: Free unobstructed space for access.
283,Clinic: Buildings (or portions thereof) used to provide  medical care on less than a 24 h basis.
284,Corridor: Enclosed component that defines and  provides a path of travel.
285,"B 4    Dubai Building Code    Part B: Architecture     Courtyard: Open, uncovered space, unobstructed to  the sky, bounded on three or more sides by exterior  building walls or other enclosing devices as shown in  Figure B.3."
286,"Development: General term for the construction,  erection or placing of a building or structure; the  making of an addition or alteration to a building or  structure; a significant change in use or in intensity of  use of any building or structure."
