,Sentences
16274,    Capped off water services connections shall be provided to all building areas that  require future fit-out.
16275,    Pipe velocities shall be restricted to approximately 1.
16276,"5 m/s to maintain system  longevity, minimize noise generation and limit pressure waves."
16277,    NOTE: These connections might require sub-metering to enable the building Owner  to charge the tenant for the volume water they consume.
16278,"    Wherever practicable, water services connections shall be configured such that  they do not create a deadleg."
16279," Where pipework routing makes this configuration  impracticable, water service connections shall be terminated with an automatic  flushing valve to enable water turnover through each connection."
16280,    H.
16281,5.
16282,13    Interfaces for BMS and automatic controls    The water services design shall provide volt-free contacts on all plant and equipment  for monitoring/control purposes via BMS.
16283,    Interior hot and cold-water pipework shall be insulated in accordance with BS 5422.
16284,    Pressure reducing valves shall be installed to enable safe water discharge pressures  at all sanitary fittings and kitchen appliances.
16285,    Surge protection valves shall be installed at the top of all water services risers.
16286,  The system shall also incorporate water hammer arrestors.
16287,    The cold-water supply to all water closet ablution hoses shall incorporate a vacuum  breaker.
16288,    Drain valves shall be provided at all system low points.
16289, Air vents shall be installed  at all system high points.
16290,    Water supply pressures at sanitary fitting terminal outlets shall be limited  to 1.
16291,5 bar to ensure the safe operation of these fittings.
16292,    Automatic water supply shut-off valves shall be provided on water distribution  pipework serving areas of the building that might be partially or intermittently  occupied.
16293," Automatic shut-off provisions may be utilized, in conjunction with  proximity sensors or leak detection systems, to help reduce water consumption  and mitigate the risk of leaks that otherwise might go unnoticed and cause damage  to the building."
16294, The precise measures that are provided shall be determined  according to the occupancy type.
16295, Water heaters shall be certified and approved by  the responsible authority.
16296,    All water supply pipework and fittings shall be approved by either the Water  Regulations Advisory Scheme (www.
16297,wrasapprovals.
16298,co.
16299,uk/) or the Water Research  council (www.
16300,wrcplc.
16301,co.
16302,uk/wrc-approvedTM).
16303,    H 58    Dubai Building Code    Part H: Indoor environment     H.
16304,6 Drainage    H.
16305,6.
16306,1    General    This section covers all occupancies except healthcare and low-rise residential  dwellings (see Part K).
16307,"    The requirements for healthcare buildings, and all relevant codes and standards, are  identified within the DHA Regulations [Ref."
16308, H.
16309,2 to Ref.
16310, H.
16311,11] and  DHA Health facility guidelines [Ref.
16312, H.
16313,12 to Ref.
16314, H.
16315,16].
16316,    This section sets out the minimum requirements and basis of design for the above-  and below-ground drainage systems within a building and up to 1.
16317,5 m beyond the  site boundary.
16318,"    For systems or applications not covered within this section, the requirements in  BS EN 12056 and BS EN 752 shall be met."
16319,    H.
16320,6.
16321,2    Sanitary plumbing system    General    H.
16322,6.
16323,2.
16324,1  A sanitary plumbing system shall be provided to all domestic sanitary fittings and  kitchen appliances.
16325," The sanitary plumbing system shall:    The surface of sanitary fittings (such as toilets, urinals and wash basins) shall  be of a material that is easy to clean and maintain."
16326,    All sanitary fittings shall be provided with a water trap.
16327," If the water trap forms part  of the sanitary appliance, the fitting shall be removable."
16328, All other water traps shall be  fitted directly after the sanitary appliance and shall be removable or fitted with  a rodding eye.
16329,"    All sanitary fitting tap flow rates, and water closet and urinal cistern flush volumes,  shall conform to Table H."
16330,8.
16331,    Sanitary fitting type    Shower heads    Hand wash basins    Kitchen sinks    Dual flush water closets    Urinals    Maximum flow rate/flush volume    8 l/m    6 l/m    7 l/m    6 l full flush    3 l part flush    2.
16332,"4 l in non-public facilities    1 l per flush or waterless in public buildings    a) convey and collect drainage flows to sewer infrastructure, cesspools, septic tanks    Table H."
16333,8 Maximum sanitary fitting flow rates/flush volumes    or holding tanks;    b) minimize the risk of blockage or leakage;    c) prevent foul air from the drainage system entering the building during normal    system usage; and    d) provide access provisions to clean and maintain the system.
16334,    H 59    Dubai Building Code    Part H: Indoor environment     01    02    03    R    5    4    3    2    1    G    R    21    20    5    4    3    2    1    G    Figure H.
16335,11 Base of discharge stack branch connection arrangements (© Chartered Institute of Plumbing &  Heating Engineering (CIPHE).
16336, The CIPHE cannot be held responsible for any errors or omissions related to the  information included)    Key  01: Vent cowl  02: Discharge stack  03: Manhole    Sanitation system disposal    H.
16337,6.
16338,2.
16339,2  The sanitation system shall be designed to collect and convey soil and waste flows  by gravity to the public drainage network.
16340, The sanitation systems shall be designed  in accordance with BS EN 12056.
16341,    Sanitation pipework and ventilation pipework shall be configured to control pressure  fluctuations that might occur in the system.
16342, Sanitary fitting water traps shall be  maintained during normal system working conditions.
16343, Primary ventilated and  secondary ventilated discharge stack arrangements may be utilized for this purpose.
16344,"  The discharge stack arrangement shall be determined according to the building  height, the grouping of sanitary fittings within the building, and any other relevant  factors."
16345,    All building discharge stacks shall terminate externally to vent to atmosphere  (see Figure H.
16346,11).
16347,"    For tall buildings, branch pipework connections located directly above the base  of a discharge stack shall be configured such that soil and waste flows from the  upper floor levels do not adversely affect the connecting sanitary appliance water  traps."
16348," To achieve this, one of the following requirements shall be met, depending  on the building height (see Figure H."
16349,11).
16350,"    a) For buildings of less than 20 storeys in height, sanitary fittings located one storey  level above the base of a discharge stack shall not be connected to any vertical  stack that drains the upper floor levels of the building."
16351,"    b) For buildings greater than 20 storeys in height, sanitary fittings located    two storey levels above the base of a discharge stack shall not be connected  to any vertical stack that drains the upper floor levels of the building."
16352,"    H 60    Dubai Building Code    Part H: Indoor environment     Where greywater recycling is proposed within a building, separate discharge stacks  shall be provided to drain greywater appliances such as showers, hand wash basins  and baths (see Figure H."
16353,12).
16354," For most occupancies, wastewater flows from kitchen  appliances should not be recycled."
16355,    Drainage from mechanical plant    H.
16356,6.
16357,2.
16358,3  Gravity drainage connections shall be provided from water services pressure relief  and valve test lines.
16359," The connection shall be made indirectly into the sanitation  system, either via a deep sealed trapped tundish, or to, or over, a floor gully."
16360,    All air-conditioning units and balcony drains shall be connected to the sanitation  system.
16361," The connection shall be made indirectly into a waste stack, either via a deep  sealed trapped tundish, or to, or over, a floor gully."
16362, Flexible polyethylene pipes shall  not be used for air-conditioning unit condensate drain pipework.
16363,    Floor drains    H.
16364,6.
16365,2.
16366,4  Floor drains (see Figure H.
16367,"13) shall be installed in all building areas containing wet  sanitary fittings or appliances (including kitchens, toilets, showers, cleaners’ rooms  and ablution areas)."
16368,"    Floor drains shall also be provided in mechanical plant rooms, waste rooms and  garages, for plant drainage and for cleaning and washdown."
16369,    All floor drain body and grating materials shall be specified to suit the floor finishes  within which they are installed and the imposed traffic loads to which they are  expected to be subject.
16370, A waterproof seal shall be achieved between the floor finish  and the edge of floor grating to prevent the migration of water at this junction.
16371,    Floor drains shall be constructed of a material that will not be degraded by the  discharge they have been installed to receive.
16372,    02    03    01    04    Figure H.
16373,"12 Greywater sanitary plumbing connection detail    Key  01: Washbasin  02: Bidet  03: Water closet  04: Bath/shower    Where condensate recycling is proposed from mechanical plant, separate discharge  stacks shall be provided to collect condensate flows."
16374,"    For laboratory buildings, separate discharge stacks shall be provided to drain  laboratory appliances such as lab sinks and fume cupboards."
16375,    H 61    Dubai Building Code    Part H: Indoor environment     Figure H.
16376,"13 Typical floor gully body and grating details    In order to prevent trap seal evaporation, all floor drains shall be configured to  receive wastewater flows from a sanitary fitting or condensate connection from an  air-conditioning unit."
16377," Where this is not practicable, automatic drain trap primer shall  be installed."
16378, A floor gully with a back inlet connection shall be utilized to receive the  waste pipe connections from these fittings.
16379,    All floor drains shall have a water seal at least 75 mm deep.
16380," Waste pipe connections  from bidets or urinals shall connect directly to a discharge stack, not a  floor drain (see Figure H."
16381,14).
16382,    The waste system from one floor drain to another floor drain shall not be directly  connected.
16383,    02    03    03    03    01    Key  01: To drainage stack  02: Floor gully  03: Sanitary fixture    Figure H.
16384,"14 Floor drain with back inlet connection detail    H 62    Dubai Building Code    Part H: Indoor environment     Ventilation pipework from drainage sumps, grease  traps, oil interceptors and sand interceptors shall vent  to atmosphere separately, to lower the risk of cross-  contamination between each system."
16385,    To help control pressure fluctuations  (see Figure H.
16386,"16) that naturally occur within drainage  systems, air admittance valves (AAVs) and passive  air pressure attenuators (PAPAs) may be used as an  alternative to installing secondary ventilation pipework."
16387,"  Where this approach is adopted, design calculations  shall be submitted to the Authority for approval."
16388,"    All AAV and PAPA fittings shall be sized and installed  in accordance with the specified valve manufacturer’s  requirements, and shall conform to BS EN 12056  and BS EN 12380."
16389, All valve termination locations  shall permit ease of access for maintenance and  replacement.
16390,"    Wherever practicable, all drainage stacks that utilize  AAV or PAPA fittings shall terminate externally."
16391," Where  drainage stacks are proposed to terminate internally,  the designer shall provide technical justification for this  approach for approval by  the Authority."
16392,    Ventilation pipework    H.
16393,6.
16394,2.
16395,"5  Vent pipes from manholes, vertical discharge stacks  and vent pipes shall be positioned at least 3 m  horizontally from any opening into the building and any  mechanical plant air inlet."
16396, Such vent pipes shall extend  at least 2 m above the roof level (see Figure H.
16397,15).
16398, All  discharge stacks and vent pipes shall be fitted with a  vent cowl.
16399,    01    02    ≥2.
16400,0 m    04    03    ≥3.
16401,0 m    Figure H.
16402,15 Vent pipe location constraints    Key  01: Roof level  02: Vent cowl  03: Stack vent    04: Opening into the building  (e.
16403,g.
16404," windows, doors and air  intakes)    H 63    01    02    03    Figure H."
16405,"16 Drainage pressure fluctuations    Key  01: Prior to stack termination, pressure falls below atmosphere    02: Throughout the length of the stack, negative pressures continue  to increase due to friction and the introduction of connecting branch  flows, which can also create local positive pressure fluctuations    03: Internal stack pressures gradually increase towards the base of  the stack; at the base of the stack, pressure exceeds atmospheric    Dubai Building Code    Part H: Indoor environment     01    Sanitary plumbing acoustic requirements    H."
16406,6.
16407,2.
16408,6  The sanitation system shall be designed and routed through the building with  attention to the acoustic requirements of the space that it passes through.
16409, Acoustic  insulation shall be provided where required.
16410,    Rodding eyes    H.
16411,6.
16412,2.
16413,"7  To provide effective access for maintenance and cleaning, rodding eyes shall be  installed:    a) at the start of all horizontal runs in sanitation pipework; and    02    03    b) at changes of direction in any sanitation pipework."
16414,    04    Access junctions (see Figure H.
16415,17) shall be installed in discharge stacks at every  storey level to provide access to clear blockages.
16416,    All rodding eyes shall terminate above the spill-over level of the appliance.
16417,    04    05    Key  01: Vent cowl  02: Roof level  03: Typ.
16418, floor levels  04: Access covers  05: Ground floor level    Figure H.
16419,17 Drainage discharge stack detail illustrating rodding eye and vertical access junction locations    H 64    Dubai Building Code    Part H: Indoor environment     Sanitation pipework    H.
16420,6.
16421,2.
16422,8  All internal pipework shall be manufactured from PVC-U in accordance with  BS EN 1329-1.
16423, Waste pipework shall conform to BS 5255 and BS EN 1329-1.
16424,    The size of the sanitary fitting outlet connections installed within the sanitation  system shall be not less than the minimum shown in Table H.
16425,9.
16426,    Sanitary fitting    Water closet    Wash basin    Kitchen sink    Floor drain    Bath tub/shower    Washing machine    Balcony drain    Minimum outlet size (mm)    100    32    40    75    40    40    50    Table H.
16427,9 Minimum sanitary fitting outlet sizes    The size of the pipework shall be not less than the minimum shown in Table H.
16428,"10 for  buildings up to seven storeys in height, and in Table H."
16429,11 for buildings of more than  seven storeys.
16430,    Pipework system    Soil vent pipe    Waste vent pipe    Rainwater pipe    Vent pipe    Balcony drain    AC drain pipe    Minimum pipe size (mm)    100    100    100    75    50    32    Table H.
16431,10 Minimum drainage pipework sizes for buildings up to seven storeys    H 65    Pipework system    Soil vent pipe    Waste vent pipe    Rainwater pipe    Vent pipe    Balcony drain    AC drain pipe    Minimum pipe size (mm)    150    150    100    100    50    32    Table H.
16432,11 Minimum drainage pipework sizes for buildings above seven storeys    Only long radius fittings shall be used in the wet portion of any discharge stack.
16433,"    Thermoplastic drainage pipework shall not run through electrical rooms, electric sub-  stations, prayer rooms, kitchens, kitchen food stores and bedrooms."
16434,    Drainpipes shall not be cast into a building structural element without prior approval  from the Structural Engineer at the Authority.
16435,"    Where drainage pipework is required to pass through a structural element in a  building, a cast iron sleeve shall first be fitted within the structural element to allow  the drain to pass through."
16436, The sleeve shall offer a tolerance of at least 50 mm to  simplify the installation of the pipe.
16437, The gap between the pipe and the sleeve shall  then be filled with suitable sealant.
16438,    The routing of drainage pipework through sensitive areas of a building should be  avoided.
16439," Sensitive areas might include, but are not limited to, the following:    a) areas of architectural significance;    b) pipework routes through areas of different ownership or tenancy; and    c) areas where access to drainage pipework might be restricted."
16440,"    Dubai Building Code    Part H: Indoor environment     Where routing drainage pipework through these areas cannot be avoided, the  pipework installation shall be configured to mitigate the risk of pipework leaks."
16441,"  This shall be achieved by using pipework materials that have limited pipework joints,  or “pipe in pipe” installation techniques."
16442,    Drainpipe sizes and gradients shall be selected based on the calculated flows through  the drainage system.
16443," In all instances, self-cleansing velocity shall be achieved through  each drain section."
16444, The drainage design and associated calculations shall be issued to  the Authority for approval.
16445,    Leak detection systems    H.
16446,6.
16447,2.
16448,9  Leak detection systems shall be installed in areas of a building where an undetected  water or drainage leak could affect sensitive equipment or cause significant damage  to the building and its interior (e.
16449,g.
16450," electrical communication rooms, base of  mechanical services risers, floor voids and some plant room areas)."
16451, The requirement  for and extent of leak detection systems will depend on the building occupancy or  use.
16452,"    To enable an automatic warning signal to be sent to the BMS, all leak detection  systems shall be wired to a dedicated control panel which incorporates  volt-free contacts."
16453,    H.
16454,6.
16455,3    Below-ground drainage    Drainage systems    H.
16456,6.
16457,3.
16458,1  Below-ground drainage systems shall be designed in accordance with BS EN 752  to receive soil and waste flows from the above-ground sanitation system.
16459,    Foul water flows shall be collected and conveyed to the external drainage network  by gravity flow.
16460,"    Buried drainage pipework, fittings and ring seal joints shall be specified to suit the  ground conditions in which they are installed and the nature of the discharge they  receive."
16461,    Drainage pipe connections shall be airtight and free from any internal obstructions.
16462,  Pipe bedding and surround materials shall be selected to suit the prevailing  geotechnical ground conditions.
16463, All drainpipe bedding and backfilling materials shall  be installed in accordance with the specified pipework manufacturer’s requirements.
16464,"    Drainpipes shall not be routed through ducts, bridges or their associated foundations."
16465,"  Where drains are required to pass through a building structural element, they shall be  encased within a cast iron sleeve."
16466, The sleeve shall be sized to allow the drain to safely  pass through.
16467, The gap between the pipe and the sleeve shall be filled with a suitable  sealant.
16468,"    If an underground drainpipe line is installed less than 600 mm below finished floor  level, it shall be provided with 150 mm thick concrete encasement."
16469,    Underground drainage pipework and fittings shall conform to BS EN 13476.
16470,"    Refer to the Authority drainage details for confirmation of approved manhole,  inspection chamber, pipe bedding, gully and pipe connection arrangements."
16471,    Commercial and industrial waste shall not be drained into the public drainage  network unless approved by the Authority.
16472, Approval will only be granted if the  appropriate equipment is available for the initial treatment of the waste.
16473,    H 66    Dubai Building Code    Part H: Indoor environment     Access shall be provided at the following points in the drainage system:    1) at or near the end of a drainage run;    2) at a bend or change in the system direction or drain gradient;    3) at a junction (unless each drain run can be cleared from an adjacent access    point); and    4) at all changes in system pipe size.
16474,    The maximum distances between types of access are given in Table H.
16475,12.
16476,"    Drainage pipes underneath flooring and inside walls shall be protected from any  external works, and against the potential settlement of floors."
16477, Distances between  means of access shall not exceed the values in Table H.
16478,12.
16479,"    Drainage system location    To junction/  branch (m)    To access  fitting (m)    To inspection  chamber (m)    To manhole  (m)    From start of external drain    -    From rodding point    From access fitting    (small 150 mm × 100 mm,    large 225 mm × 100 mm)    From inspection chamber    From manhole    12    12    12    -    12    12    12    18    -    Table H."
16480,12 Maximum spacing of drainage access provisions    18    18    18    18    18    20    20    20    20    20    Access to drainage systems    H.
16481,6.
16482,3.
16483,2  Means of access (see Figure H.
16484,18) for cleaning and maintaining the below-ground  drainage system include:    a) manholes;    b) inspection chambers;    c) rodding points;    d) access fittings.
16485,    01    03    Key  01: Manhole  02: Shallow inspection chamber  03: Rodding eye  04: Access fitting    02    04    Figure H.
16486,18 Different types of below-ground drainage access (© British Standards Institute.
16487, Figure extracted  from BS EN 752:2017.
16488, Permission to reproduce extracts from British Standards is granted by BSI Standards  Limited (BSI).
16489, No other use of this material is permitted).
16490,    H 67    Dubai Building Code    Part H: Indoor environment     Sump pits    H.
16491,6.
16492,3.
16493,3  All basement levels shall be provided with appropriate means and equipment to drain  and filter water (such as sand separation rooms and mechanical plant rooms).
16494,    Sump pump pits (see Figure H.
16495,19) shall have a depth of not less than 1 m from the  level of the lowest inlet pipe.
16496,    All sump pump pits shall be positioned in an accessible location for ease of cleaning  and maintenance.
16497,    All sump pits shall incorporate two submersible pumps operating in a duty/standby  configuration.
16498," Where the sump pump operation is important to the operation of  the building, the electrical supply to the submersible pump installation shall have  generator back-up."
16499,    Each submersible pump shall be wired to a dedicated control panel which  incorporates volt-free contacts.
16500,    01    02    NOTE: The volt-free contacts and control panel enables an automatic warning signal  to be sent to the BMS in the event of pump failure.
16501,    03    Open grated sump pits do not require a vent pipe.
16502,    Figure H.
16503,19 Typical sump pump detail (© CIBSE.
16504, Figure based on Figure 6.
16505,"13 from CIBSE, 2014."
16506,  Guide G – Public health and plumbing engineering guide.
16507, London: CIBSE).
16508,    Key  01: Guide rail  02: Pump  03: Auto coupling    H 68    Dubai Building Code    Part H: Indoor environment     Foul pumping stations    H.
16509,6.
16510,3.
16511,"4  Where the external public drainage network is of insufficient depth, or where there  is a risk of internal flooding due to sewer surcharge, foul flows from sanitary fittings  shall discharge into a foul pumping station."
16512,    The pumping station (see Figure H.
16513,20) shall be evacuated by submersible pumps that  transport foul flows via a pumping main to the external public drainage network.
16514,    The pumping station shall house pumps that incorporate an auto-changeover facility  to ensure even pump wear.
16515," All pumping stations shall incorporate, as a minimum,  N+1 resilience with pumps operating in a duty/standby configuration, where “N”  indicates the duty equipment."
16516,    The wet well capacity of the foul pumping station should be sized to provide  approximately 24 h foul water storage in the event of pump failure.
16517, The foul water  storage volume shall be provided below the lowest incoming chamber connection.
16518,"  Where pumping station system resilience is important to the operation of the  building, the electrical supply to the pumping station shall have generator back-up."
16519,"    Where possible, the pumping station shall be located externally."
16520," Where this cannot  be achieved, the pumping station shall be located inside the building within a  dedicated plant room that permits easy access for cleaning and maintenance."
16521,  The pumping station shall have a dedicated vent pipe that terminates externally  to vent to atmosphere.
16522,    The pumping station shall be wired to a dedicated control panel which incorporates  volt-free contacts.
16523,    NOTE: The volt-free contacts and control panel enables an automatic warning signal  to be sent to the BMS in the event of pump failure.
16524,    09    11    10    01    01    Key  01: Invert level  02: 110 Ø discharge  03: 150 mm (approximately)  subject to pump requirements  04: Min.
16525, level  05: Pump  06: Min.
16526, 100 mm  07: Inlet pipe  08: Control cables  09: Control panel with backup  power supply  10: Subject to pump  requirements  11: Ventilation    02    3  5  0    05    400    4  4  5    2  5  0    Figure H.
16527,"20 Typical foul water pumping station detail    08    07    06    500    500    04    03    1,000    H 69    Dubai Building Code    Part H: Indoor environment     Manholes    H."
16528,6.
16529,3.
16530,5  All manholes shall be installed within the boundaries of the building plot.
16531," During  the design, care shall be taken to select the appropriate location of the last manhole  (i."
16532,e.
16533, the one before the public network) in terms of ease of connection to the public  drainage network and to fulfil the conditions of the Authority.
16534,    Backdrops shall be provided when the level difference between incoming drain  and main sewer is considerable.
16535,"    All inspection chambers, manholes and gully traps constructed in covered building  areas shall be a dry type (not open channel) and provided with recessed double seal  type cover."
16536,"    Manhole access covers shall be suitable for the wheel loads to which they are  subjected and for their surrounding floor or road finishes, in accordance with  BS EN 124-1."
16537,"    NOTE 2: Manholes located in garages, driveways or other areas of vehicle movement  are likely to require heavy-duty covers."
16538,"    If inspection chambers or manholes are installed in agricultural land, the manhole  cover shall be raised at least 75 mm above the natural ground level."
16539,    Manhole venting shall be provided by a vent pipe serving the first and last manholes  of any drainage line.
16540, Vent pipes shall be located at least 100 mm below cover level.
16541,"    Manholes shall be sited away from underground water tanks, at a distance not less  than the depth of the water tank."
16542,"    Manholes shall not be installed inside buildings, except in chutes, corridors, service  rooms, car sheds and ventilated corridors."
16543, Such manholes shall be dry type  (not open channel).
16544,    The manhole schedule shall be arranged as shown in Figure H.
16545,21.
16546," The manhole invert  level, cover level depth and distance between manholes shall be determined by the  Authority public drainage connection level and the final inspection chamber (FIC)."
16547,  All datum units shall be produced in the International System of Units (SI units).
16548,    Cover Level    Invert Level Distance    Depth (m)    Cover Type    Remark    to next  chamber  (m)    Manhole  No.
16549,    Authority    FIC    Manhole  No.
16550,    Figure H.
16551,21 Sample manhole schedule    The invert level of the external drainage system shall be determined by the  Consultant.
16552, The drainage connection level shall match that of the FIC.
16553, The depth  of the last manhole shall be obtained from or approved by the Authority.
16554,    Acute angle branch connections shall not be made within manholes.
16555,    Pipework connections into a manhole shall be installed where the tops of each  incoming drain connect at the same level.
16556,    NOTE 1: This connection arrangement means that smaller diameter connecting  pipes are not flooded when there is flow through the bigger pipes.
16557,    H 70    Dubai Building Code    Part H: Indoor environment     Final inspection chamber and provision for future connection    H.
16558,6.
16559,3.
16560,7  The final inspection chamber (FIC) shall be constructed near the building compound  wall and opposite the public drainage connecting chamber/manhole.
16561, The FIC cover  shall be ductile iron with a GRP push-fit sealing plate.
16562, The FIC manhole shall have one  incoming connection and shall operate by gravity flow.
16563,"    Where there is no public drainage system, the FIC for the building shall still be  provided for connection to a future public drainage network/manhole."
16564, The FIC shall  be located towards the narrowest adjacent road.
16565,    Manhole construction    H.
16566,6.
16567,3.
16568,"6  Where a manhole or inspection chamber is constructed below the groundwater  table level, the entire manhole construction shall be either waterproofed reinforced  concrete or GRP."
16569,    All main line channels shall be in the centre of the manhole.
16570, The sides of manhole  channels shall be extended vertically to the same level of the soffit of the pipe.
16571,    Benching of incoming branch drains shall be inclined towards the main direction  of flow.
16572,    The diameter of the semi-circular channel in the bottom of manhole shall be equal  to that of the outgoing drain diameter.
16573,    The benching of inspection chambers/manholes shall have a smooth curved surface  using granolithic concrete that does not restrict drainage flows.
16574,    The manhole chamber and access cover sizes shall be not less than the minimum  values given in Table H.
16575,13.
16576,"    Manhole depth (mm)    Minimum manhole size (mm)    Manhole cover size (mm) for  sewerage and storm water    Up to 1,300    From 1,301 to 1,700    600 × 600    800 × 800    From 1,701 to 2,500    1,000 dia."
16577," (with GRP lining)    From 2,501 to 4,000    1,500 dia."
16578, (with GRP lining)    Table H.
16579,13 Minimum manhole chamber and access cover sizes    600 × 600    600 × 600    600 dia.
16580,    600 dia.
16581,    H 71    Dubai Building Code    Part H: Indoor environment     H.
16582,6.
16583,4    Rainwater disposal    General    H.
16584,6.
16585,4.
16586,1  A rainwater disposal system shall be provided to remove rainwater from all building  roof areas.
16587," The system shall be designed in accordance with BS EN 12056, and  configured to reduce the impact of sand and dust ingress."
16588,"    The system shall be designed to enable regular ongoing maintenance to remove sand  and dust from roof gutters, outlets and rainwater pipework."
16589,    Rainfall intensity design criteria shall be taken from intensity duration-frequency  curves developed for Dubai urban areas as shown in Table H.
16590,14.
16591,"    For each building development, the rainfall intensity criteria used for design purposes  shall be agreed with the Authority."
16592,"    Unless a more stringent design rainfall intensity is requested by the Authority or  another party, a rainfall intensity of 75 mm/h shall be utilized for building roof  disposal systems."
16593,"    Rainwater disposal gutters, channels and rainwater pipes shall be:    a) installed with a gradient not greater than 1/50 and not less than 1/70;    b) made of robust material, complete with waterproof joints; and    Return  period    Intensity (mm/h) by duration (h)    0."
16594,50 (h)    1.
16595,00 (h)    1.
16596,50 (h)    2.
16597,00 (h)    2.
16598,50 (h)    6.
16599,00 (h)    24.
16600,"00 (h)    1,000 year 103."
16601,44    200 year    83.
16602,78    150 year    80.
16603,26    100 year    75.
16604,30    75 year    50 year    40 year    30 year    25 year    20 year    15 year    10 year    5 year    4 year    3 year    2 year    71.
16605,77    66.
16606,78    64.
16607,03    60.
16608,46    58.
16609,20    55.
16610,41    51.
16611,80    46.
16612,63    37.
16613,48    34.
16614,38    30.
16615,19    23.
16616,65    70.
16617,99    57.
16618,81    55.
16619,45    52.
16620,12    49.
16621,75    46.
16622,40    44.
16623,56    42.
16624,17    40.
16625,65    38.
16626,78    36.
16627,35    32.
16628,89    26.
16629,75    24.
16630,67    21.
16631,86    17.
16632,48    52.
16633,40    42.
16634,73    41.
16635,00    38.
16636,56    36.
16637,82    34.
16638,37    33.
16639,01    31.
16640,26    30.
16641,15    28.
16642,78    27.
16643,00    24.
16644,46    19.
16645,96    18.
16646,44    16.
16647,38    13.
16648,16    43.
16649,63    35.
16650,50    34.
16651,05    31.
16652,99    30.
16653,53    28.
16654,47    27.
16655,33    25.
16656,86    24.
16657,92    23.
16658,77    22.
16659,27    20.
16660,14    16.
16661,35    15.
16662,07    13.
16663,34    10.
16664,64    34.
16665,90    28.
16666,40    27.
16667,24    25.
16668,59    24.
16669,43    22.
16670,78    21.
16671,87    20.
16672,69    19.
16673,94    19.
16674,02    17.
16675,82    16.
16676,11    13.
16677,08    12.
16678,06    10.
16679,67    8.
16680,51    20.
16681,51    16.
16682,43    15.
16683,70    14.
16684,66    13.
16685,93    12.
16686,89    12.
16687,32    11.
16688,58    11.
16689,11    10.
16690,53    9.
16691,78    8.
16692,71    6.
16693,81    6.
16694,17    5.
16695,30    3.
16696,94    7.
16697,62    6.
16698,12    5.
16699,86    5.
16700,48    5.
16701,21    4.
16702,83    4.
16703,62    4.
16704,35    4.
16705,18    3.
16706,97    3.
16707,70    3.
16708,30    2.
16709,61    2.
16710,37    2.
16711,06    1.
16712,56    c) installed in a safe and reliable manner that is equipped with suitable means of    Table H.
16713,14 Dubai rainfall intensity frequency data    gutter and pipe protection (where required).
16714,    Rainwater shall be drained directly onto the surface of a road or passage.
16715," It shall not  be drained into the drainage pipes of septic tanks or cesspits, or into an adjacent  neighbour’s premises."
16716,"    Where possible, rainwater should be drained within the land boundaries at least 2 m  away from the building."
16717,    H 72    Dubai Building Code    Part H: Indoor environment     Hardstanding paved areas shall be constructed to slope away from the building.
16718,"  Where external levels would otherwise cause water to pond along a wall, a reverse  gradient shall be constructed at least 500 mm from the wall to divert water away."
16719,"    If a public storm water drainage network is not available in the area, a rainwater  storm drain or holding tank should be provided within the land boundaries."
16720," Where  such a facility is provided, it shall be sufficient to hold rainwater for at least one day."
16721,    Miscellaneous rainwater drainage    H.
16722,6.
16723,4.
16724,5  Rainwater pipes shall not be connected to sewer lines.
16725," They shall be terminated  above ground, to allow free discharge onto the external ground surface."
16726,"    Exposed roof areas or canopies shall be configured with a gradient of not greater  than 1/50 and not less than 1/70 in order to direct rainwater to suitable channels,  gutters or outlets."
16727,    All building parapet roof areas shall incorporate emergency overflow provisions.
16728,    All internal roof or paved areas that are open to the sky (that have a catchment area  of 16 m2 or less) shall be provided with floor drains to enable rainwater pipework  to connect to the nearest gully or waste discharge stack.
16729, All other areas that are open  to the sky shall be provided with a rainwater drain that provides free discharge  to an external area.
16730,"    For all air ventilation shafts, access doors shall be provided at the lower level  of the well to facilitate cleaning and maintenance of the rainwater drainage system."
16731,    The routing of rainwater pipework through sensitive areas of a building should be  avoided.
16732," Sensitive areas might include, but are not limited to:    1) areas of architectural significance;    2) pipework routes through areas of different ownership or tenancy; and    3) areas where access to drainage pipework might be restricted."
16733,"    Where routing pipework through these areas cannot be avoided, the pipework  installation shall be configured to mitigate the risk of pipework leaks."
16734," This shall be  achieved by using pipework materials that have limited pipework joints, or “pipe in  pipe” installation techniques."
16735,    Siphonic rainwater disposal systems    H.
16736,6.
16737,4.
16738,2  Siphonic rainwater systems shall be designed and installed in accordance with  BS EN 12056.
16739,    Only specialist Consultants shall be employed to design and install these systems.
16740,"  Where siphonic rainwater systems are proposed, the Consultant shall design the  system using analytical software to demonstrate the hydraulic performance of the  system."
16741," The Consultant shall provide design drawings, schematics and specifications  for submission to the Authority."
16742,    Rainwater disposal system acoustic requirements    H.
16743,6.
16744,4.
16745,3  The rainwater disposal system shall be designed and routed through the building  with attention to the acoustic requirements of the space that it passes through.
16746,  Acoustic insulation shall be provided where required.
16747,    Drainage of hardstanding paved areas    H.
16748,6.
16749,4.
16750,4  Hardstanding paved areas shall be designed in accordance with BS EN 752.
16751,  They shall be drained using floor gully’s and linear drainage channels.
16752,"    The design rainfall intensity shall be 65 mm/h, unless a more stringent value  is requested by the Authority or another party."
16753,    H 73    Dubai Building Code    Part H: Indoor environment     H.
