,Sentences,length,word_count,length_change,wordcount_change
2992,"3 0.20 3.05 5.00 figur g.44 typic ground floor transform room spatial arrang (m) (for refer only, construction) 04 5.00 g 86 dubai build code part g incom util g.7.5.3 basement substat (rmu room ground floor transform room basement level) dimens basement substat rmu room ground floor shall conform tabl g.26, tabl g.27, figur g.43 figur g.44",342,57,42,0
2993,"rmu room, ground floor area requir (m2) minimum width room (m) toward door side one rmu set control two transform addit rmu set 9 7 four transform (includ necessari equipment) 10 3 – 5 tabl g.26 dimens rmu room, ground floor basement substat transform topolog (basement level) area requir (m2) minimum width room (m) 1 × 1,000/1,500 kva extra area requir addit transform 2 × 1,000/1,500 kva transform 21 21 42 tabl g.27 dimens transform room, basement substat 4.57 – 6.1 g 87 dubai build code part g incom util open sky dedic substat privat panel g.7.5.4 dimens open sky dedic substat privat panel shall conform tabl g.28 figur g.45",632,110,91,0
2994,"paramet equip dimens addit requir requir 1 × 1,000/1,500 kva transform 1 × rmu 6.1 × 6.1 substat space shall locat along rta/publ road sikka. lv room shall adjac substat room. soakaway shall 3.66 (minimum) away substat",218,37,44,0
2995,"tabl g.28 open sky, dedic substat paramet 0.60 1.53 0.77 0.90 0.77 1.53 0.20 0.40 0.85 0.45 01 02 0 1",101,21,11,0
2996,6 0.92 0.60 0.92 0 4,20,6,0,0
2998,1 04 05 0.30 0.60 0.60 03 0 3,29,9,0,0
3000,"0 06 key 01 150 mm øpvc trench level 02 transform base 03 rtu 04 rmu 05 open sky 06 compound wall shall 2.1 07 rta road/sikka 6.10 07 figur g.45 typic open sky dedic substat spatial arrang (m) (for refer only, construction) g 88 dubai build code part g incom util open sky pocket substat g.7.5.5 dimens open sky pocket substat shall conform tabl g.29, figur g.46 figur g.47",373,70,45,0
3001,"equip 1 × 1,000 kva 2 × 1,000 kva dimens (m) 4.57 × 3.66 6.1 × 6.1 tabl g.29 open sky, dedic substat paramet substat shall directli locat along rta/ public road sikka. side substat dimens 4.57 6.1 face rta/publ road/servic road",227,42,35,0
3002,"substat shall suitabl releas suppli individu feeders, 400 (maximum rating)",74,10,9,0
3003,"height compound wall around substat foundat (on three sides) shall 2,100 mm",75,12,6,0
3004,soakaway shall minimum 3.66 substat,35,5,3,0
3005,key 01 pocket substat base 02 trench 03 earth pit 04 open sky 05 rta road/sikka 2.44 0 3,88,19,4,0
3006,0 01 02 6 6,11,5,0,0
3011,"0 0.30 0.20 0.60 1.40 4.57 05 figur g.46 typic 1 × 1,000 kva pocket substat spatial arrang (m) (for refer only, construction) g 89 dubai build code part g incom util key 01 pocket substat no.1 02 pocket substat no.2 03 trench 04 compound wall less 2.1m 05 rta road/sikka 0.30 04 0.30 1.06 0.60 6.10 1.58 0.40 02 2.74 6.10 03 2.36 0.60 1.06 0.30 0.53 1.60 0.53 01 0 6",366,73,32,0
3012,"0 03 1.66 05 figur g.47 typic 2 × 1,000 kva pocket substat spatial arrang (m) (for refer only, construction) g 90 dubai build code part g incom util dewa control room requir direct 11 kv suppli g.7.5.6 dimens dewa control room shall conform tabl g.30, figur g.48 figur g.49",273,50,39,0
3013,"11 kv feeder area (m2) dimens (m) addit requir area everi addit feeder (m2) two feeder 29.16 5.4 × 5.4 8 two feeder 37.2 6.1 × 6.1 37.2 tabl g.30 dewa control room requirements, 11 kv suppli regular type rmu room made block work rcc slab",237,46,22,0
3014,open sky fgrp kiosk (to suppli dewa). height wall around substat foundat (on three sides) 2.1,93,16,8,0
3016,5 0.30 0.45 0 9,15,5,0,0
3017,0 01 0.85 03 0.42 02 0.42 02 3 0,32,10,0,0
3019,"3 04 0.60 0.60 1.18 3.05 5.40 1.18 1.50 figur g.48 typic dedic 11 kv/rmu room (enclosed) (m) (for refer only, construction) key 01 rtu 02 trench 03 db 04 8 m2 extra rmu g 91 dubai build code part g incom util 0.30 01 key 01 rtu 02 trench 03 db 04 compound wall less 2.1m 0.45 0.45 02 0.85 0.85 02 04 3.00 3.00 03 0.45 0.75 0.75 0 3",331,72,22,0
3022,0 3.70 6.10 5 4,15,5,0,0
3025,"0 figur g.49 typic dedic 11 kv/rmu enclosur (open air) (m) (for refer only, construction) g 92 dubai build code part g incom util substat shall 2 h fire rate conform tabl 1.9, ch. 1 uae flsc ref. g.1. exterior wall need fire rate unless risk exterior fire spread wall fire rate accord ch. 1 uae flsc ref. g.1",308,59,36,0
3026,"least one exit door door swing direct egress shall provided. door 2 h fire rate fire rate wall, door shall 90 min fire rated. equip access door mayb suffici meet requir",168,31,19,0
3027,wall enclos cover park ramp exit/access basement interior walls. louver shall permit wall unless protect accord g.7.6.3,119,17,21,0
3028,"forc ventil exterior wall g.7.6.3 rmu room shall ground floor. rmu room shall 2 h fire rate conform tabl 1.9, ch. 1 uae flsc ref. g.1. exterior wall need fire rate unless risk exterior fire spread wall fire rate accord ch. 1 uae flsc ref. g.1",242,46,19,0
3029,independ mechan ventil shall provid transform room exterior wall (e.g. basement). equip shall access landlord side. mechan ventil shall size maintain ambient temperatur substat maximum 55 °c base outsid air temperatur 48 °c. support calcul shall provid justifi propos exhaust suppli rates. typic detail shown figur g.52,319,47,58,0
3030,louver shall provid two side room back-up mechan ventil system,62,10,13,0
3031,"total grill area shall less 14.9 m2 1,000 kva transform less 18.6 m2 1,500 kva transform",88,16,4,0
3032,"transform room shall 2 h fire rate conform tabl 1.9, ch. 1 uae flsc ref. g.1. louver shall protect automat 2 h fire rate shutter 2 h fire rate curtain landlord side louver (see figur g.53). two combin fire smoke detector shall provid landlord side louvers. shall locat slab soffit within vicin louver accord dimension requir tabl 8.1 (item 25, door releas service), ch. 8 uae flsc ref. g.1",389,69,40,0
3033,"g.7.6 substat ventil fire safeti provis gener g.7.6.1 substat shall adequ ventil use natur louvers, mechan ventil combin both, depend upon mani side transform room direct access exterior wall",191,29,50,0
3034,"substat shall 2 h fire rate conform tabl 1.9, ch. 1 uae flsc ref. g.1. exterior wall need fire rate unless risk exterior fire spread wall fire rate accord ch. 1 uae flsc ref. g.1",178,35,13,0
3035,natur ventil via two exterior wall g.7.6.2 substat ground floor shall natur ventilated. minimum two side shall ventil use aluminium louver door fix aluminium louver,164,25,29,0
3036,fix aluminium louver window(s) 600 mm outsid ground level,57,9,3,0
3037,aluminium louver door shall follow size a) transform room 3.05 wide × 2.75 high b) rmu room 2.4 3.05 wide × 2.75 high,117,23,11,0
3038,note door detail shown figur g.50 figur g.51,44,8,3,0
3039,"g 93 dubai build code part g incom util upon activ combin fire smoke detectors, fire rate shutter fire rate curtain shall automat close mechan ventil transform room shall automat stop",183,31,45,0
3040,fire rate shutter fire rate curtain shall automat overrid switch landlord side,78,12,7,0
3041,"least one fire rate (90 min) exit door, door swing direct egress, shall provid",78,14,6,0
3042,"n equip access door may includ louvers, shall protect automat fire rate shutter fire rate curtain landlord side louvers. fire curtains/shutt close fire block equip door therefor altern exit shall provid equip door shall mark exit. l j k n p p j k figur g.50 detail substat louver l g 94 dubai build code part g incom util b) door plan key 01 3.05 m, 2.44 locat open onto sikka/road, per plan 02 slot central mullion b 40 mm × 20 mm brace aluminium box c heavi duti hing heavi duti aluminium drop lock hook e heavi duti brass tower bolt (750 mm) f heavi duti brass tower bolt (300 mm) g handl h rawl bolt c) detail addit lock arrang figur g.51 detail substat door a) elev g 95 dubai build code part g incom util 4 x 1,000 kva figur g.52 forc ventil transform room basement g 96 dubai build code part g incom util 5.00 0.77 0.90 0.77 1.28 03 04 5.00 03 0.20 0.40 04 05 0.85 01 02 0 2 4",883,177,123,0
3044,0.45 0.92 0.60 0.92 1.70 03 aa 0.45 0.98 aa aa 06 0.20 figur g.53 plan section view basement transform room fire rate shutter/curtain louver (m) key 01 150 mm øpvc duct trench level 02 transform base 03 combin heat/smok detector 04 2 h fire/smok curtain landlord side protect louver open 05 louver door 06 90 min fire rate door g 97 dubai build code part g incom util g.7.7 transport equip basement transform room g.7.8 substat cabl arrang transport transform public road transform room customer’ responsibility. requir set tabl g.31 shall follow,546,93,67,0
3045,cabl arrang subject dewa approv shall conform tabl g.32,55,9,10,0
3046,"element transport rout requir ramp slab cut-out open straight, minimum width 3 m. slope curv speed breaker (humps) permitted. minimum clear height 3 shall maintain public road transform room. slope ramp shall maintain maximum 110 (10%)",235,36,20,0
3047,cut-out size shall 3 × 3 adjac main rta/publ roadsid,52,10,6,0
3048,area cut-out basement level shall design loading/unload bay,59,8,7,0
3049,"area cut-out shall open sky. floor minimum clear height 7 shall maintained. tabl g.31 transform transport requir – main road transform room substat type gener substat cabl arrang cabl trench insid substat shall clear depth 950 mm substat ffl, indic figur g.54",259,42,43,0
3050,"cabl route/arrang plot limit substat (if setback confirm affect plan issu compet authority) shall cabl trench remov slab shown figur g.55, cabl tray high level basement",168,26,26,0
3051,"cabl route/arrang rmu room transform room split/ basement substat shall cabl trench remov slab shown figur g.53, cabl tray high level basement",142,22,19,0
3052,"cabl pass traffic movement area, concret encas duct manhol end shall provided. spare provis duct shall provid accord dewa requirements. cabl duct shall intern diamet 150 mm",172,27,28,0
3053,note cut-out 950 mm depth outsid level (toward road/sikka) provid hv cabl entry. typic arrang shown figur g.54 figur g.55,121,20,15,0
3054,"basement split substat basement/split substation, transform room cabl trench depth shall 500 mm finish floor, subject dewa approv",129,18,10,0
3055,"cabl tray arrangement, clear depth 950 mm shall provid substat ffl bed tray, minimum clear depth 450 mm bottom slab bed tray",124,22,6,0
3056,cabl installation/mainten space minimum 1.2 shall provid least one side cabl tray arrang,88,13,13,0
3057,"cabl tray shall pass public/open area close area/room (there shall services, pipes, etc. cabl tray)",99,15,3,0
3058,"note cabl rout rmu transform room straight (without turns/bends). unavoidable, minimum bend radiu r = 950 mm might accept",121,19,10,0
3059,tabl g.32 substat cabl arrang g 98 dubai build code part g incom util 0 5 6 0 0 3 0 5 1 0 5 9 0 0 3 0 5 1 figur g.54 typic substat cabl trench set detail figur g.55 cabl lie arrang concret trench key 01 wall 02 chequer plate 03 channel 04 open 05 slope 06 pre-cast concret g 99 key 01 pre-cast concret kerb 02 cover heavi duti 03 200 mm thick block work 04 cabl 05 0.08 diamet drain floor 2 c/c 06 30 n/mm2 pre-cast concret 07 polythen sheet 08 compact earth 09 channel width – variabl accord number cabl dubai build code part g incom util note 2 complianc support type test certif guarante routin manufacturer’ work test certificates. certif confirm current transform (ct) pass type test need submit dewa,705,138,107,0
3060,incom current transform shall dimens protect scheme oper effect fault current 31.5 ka,85,13,22,0
3061,revers power protect shall provid enabl in-fe fault within dewa 11 kv network clear within 3,92,16,13,0
3062,"g.7.9 direct 11 kv suppli super high- rise tower 200 intak arrang g.7.9.1 point suppli super high-ris tower suppli intak mv switchgear, locat adjac dewa metering/control room. switchgear shall provid circuit breaker, e/f o/c protect",232,35,19,0
3063,"custom respons equip beyond point supply. dewa supply, oper maintain equip instal ground level",94,14,20,0
3064,equip procur custom shall dual ratio (6.6/11 kv) unless clearli state 11 kv,75,13,9,0
3065,equip shall conform relev intern standard (iec standards),57,8,15,0
3066,total transform loss shall exceed 1.5% rate capac,49,8,8,0
3067,cast resin transform shall instal residential/commerci build,60,7,12,0
3068,"technic justif shall submit avail direct 11 kv suppli super high-ris build locat transform ground level(s). depend height building, size load, type load, etc. build exceed 200 dewa may accept direct 11 kv supply. design shall consult dewa confirm",246,39,32,0
3069,mv switchgear suitabl termin maximum cabl size 3 × 300 mm2 xlpe/pvc/swa/p aluminium/copp cabl heat shrinkabl type cabl termin,125,19,19,0
